date_time,magnitude,depth,latitude,longitude,sig,tsunami
2/19/2005 0:04,6.5,10,-5.562,122.129,650,0
2/26/2005 12:56,6.8,36,2.908,95.592,711,0
3/2/2005 10:42,7.1,201.7,-6.527,129.933,776,0
3/20/2005 1:53,6.6,10,33.807,130.131,805,0
3/28/2005 16:09,8.6,30,2.085,97.108,1138,0
4/10/2005 10:29,6.7,19,-1.644,99.607,717,0
4/10/2005 11:14,6.5,30,-1.714,99.779,657,0
5/14/2005 5:05,6.7,34,0.587,98.459,731,0
5/19/2005 1:54,6.9,30,1.989,97.041,740,0
6/13/2005 22:44,7.8,115.6,-19.987,-69.197,1020,0
6/15/2005 2:50,7.2,16,41.292,-125.953,1318,0
7/2/2005 2:16,6.6,27,11.245,-86.172,719,0
7/5/2005 1:52,6.7,21,1.819,97.082,693,0
7/24/2005 15:42,7.2,16,7.92,92.19,808,0
8/16/2005 2:46,7.2,36,38.276,142.039,1104,0
9/9/2005 7:26,7.6,90,-4.539,153.474,891,0
9/26/2005 1:55,7.5,115,-5.678,-76.398,1018,0
9/29/2005 15:50,6.6,25,-5.437,151.84,670,0
10/8/2005 3:50,7.6,26,34.539,73.588,1267,0
11/17/2005 19:26,6.8,147,-22.361,-67.895,711,0
11/19/2005 14:10,6.5,21,2.164,96.786,651,0
12/2/2005 13:13,6.5,29,38.089,142.122,683,0
12/5/2005 12:19,6.8,22,-6.224,29.83,744,0
12/12/2005 21:47,6.5,224.6,36.357,71.093,721,0
1/4/2006 8:32,6.6,14,28.164,-112.117,703,0
1/8/2006 11:34,6.7,66,36.311,23.212,934,0
2/22/2006 22:19,7,11,-21.324,33.583,891,0
3/14/2006 6:57,6.7,30.1,-3.595,127.214,691,0
4/7/2006 8:30,6.5,14,-16.527,176.989,654,0
4/20/2006 23:25,7.6,22,60.949,167.089,889,0
4/29/2006 16:58,6.6,11,60.491,167.516,670,0
4/30/2006 19:17,6.7,12,-27.017,-71.022,696,0
4/30/2006 21:40,6.5,12,-27.211,-71.056,653,0
5/3/2006 15:26,8,60.5,-19.99,-173.907,1026,0
5/3/2006 15:26,8,55,-20.187,-174.123,1013,0
5/16/2006 15:28,6.8,12,0.093,97.05,719,0
5/22/2006 11:12,6.6,19,60.772,165.743,670,0
5/28/2006 3:12,6.5,34,-5.724,151.133,650,0
7/17/2006 8:19,7.7,20,-9.284,107.419,947,0
8/7/2006 22:18,6.8,150,-15.798,167.789,713,0
8/24/2006 21:50,6.5,43,51.148,157.522,650,0
9/1/2006 10:18,6.8,38,-6.759,155.512,711,0
9/28/2006 6:22,6.9,28,-16.592,-172.033,737,0
10/15/2006 17:07,6.7,38.182,19.877,-155.935,1481,0
